epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.861,1.95898,1.92435,1.91762,0.75393,0.80479,0.78429,0.28638,2.13198,2.93124,2.93113,0.00066,0.00066,0.00066
2,52.4045,1.85181,1.27421,1.7778,0.01061,0.15753,0.00538,0.0015,2.91358,8.29069,3.14489,0.00131353,0.00131353,0.00131353
3,74.798,1.78134,1.19743,1.75802,0.80352,0.42016,0.55463,0.2457,2.07351,1.63091,2.18748,0.00195387,0.00195387,0.00195387
4,97.0582,1.7712,1.14202,1.74385,0.74685,0.61631,0.68363,0.24813,2.12747,1.54583,2.28181,0.0019406,0.0019406,0.0019406
5,119.171,1.71702,1.11131,1.69217,0.93441,0.84589,0.9256,0.44108,1.75636,1.43766,1.96613,0.0019208,0.0019208,0.0019208
6,141.374,1.69593,1.03131,1.66288,0.88443,0.80137,0.85542,0.43909,1.70408,1.0916,1.88484,0.001901,0.001901,0.001901
7,163.486,1.70193,1.03775,1.65498,0.94926,0.76882,0.87345,0.41371,1.75065,1.23543,1.92746,0.0018812,0.0018812,0.0018812
8,185.513,1.66236,0.98797,1.62359,0.93752,0.81164,0.93594,0.43699,1.80558,0.84661,1.99151,0.0018614,0.0018614,0.0018614
9,207.514,1.58883,0.95459,1.56736,0.92496,0.84432,0.94485,0.49823,1.573,0.93836,1.80877,0.0018416,0.0018416,0.0018416
10,229.572,1.59945,0.9213,1.60232,0.92981,0.85959,0.944,0.46419,1.79068,0.85004,1.95029,0.0018218,0.0018218,0.0018218
11,251.797,1.61621,0.92123,1.62306,0.93478,0.8344,0.93572,0.48941,1.64609,1.22922,1.84742,0.001802,0.001802,0.001802
12,273.887,1.62691,0.94596,1.61391,0.87593,0.90411,0.96235,0.51066,1.59195,0.74439,1.79709,0.0017822,0.0017822,0.0017822
13,296.031,1.56559,0.89597,1.54026,0.90255,0.8881,0.95282,0.50654,1.60806,0.81943,1.82576,0.0017624,0.0017624,0.0017624
14,318.039,1.56601,0.88214,1.57641,0.89987,0.89258,0.95794,0.50823,1.60244,0.7274,1.82739,0.0017426,0.0017426,0.0017426
15,340.084,1.5843,0.90274,1.57926,0.90233,0.9175,0.9585,0.47522,1.68139,0.78952,1.84017,0.0017228,0.0017228,0.0017228
16,362.081,1.58113,0.88145,1.58326,0.85278,0.95205,0.95292,0.51143,1.63004,0.72587,1.82457,0.001703,0.001703,0.001703
17,384.224,1.56368,0.85424,1.55046,0.95014,0.81507,0.96024,0.5298,1.56446,0.68358,1.76219,0.0016832,0.0016832,0.0016832
18,406.587,1.55292,0.80985,1.51713,0.89732,0.91438,0.96163,0.51663,1.5948,0.72174,1.79408,0.0016634,0.0016634,0.0016634
19,429.085,1.54424,0.85387,1.55195,0.87392,0.88699,0.94779,0.49512,1.63738,0.76885,1.82743,0.0016436,0.0016436,0.0016436
20,450.191,1.60145,0.84273,1.55733,0.89823,0.87329,0.95995,0.50155,1.66487,0.70002,1.85041,0.0016238,0.0016238,0.0016238
21,471.376,1.56332,0.84734,1.53911,0.8953,0.89041,0.95978,0.525,1.57465,0.72418,1.78241,0.001604,0.001604,0.001604
22,492.376,1.52888,0.82979,1.51777,0.87341,0.94518,0.96257,0.51309,1.66326,0.68834,1.82819,0.0015842,0.0015842,0.0015842
23,513.554,1.56833,0.84596,1.56624,0.89932,0.92123,0.97099,0.5341,1.58326,0.70675,1.75921,0.0015644,0.0015644,0.0015644
24,534.789,1.55133,0.81693,1.54633,0.91468,0.88112,0.95866,0.51167,1.59694,0.75561,1.78546,0.0015446,0.0015446,0.0015446
25,555.778,1.52875,0.83474,1.56326,0.8831,0.93134,0.96716,0.52063,1.58399,0.70732,1.80333,0.0015248,0.0015248,0.0015248
26,576.851,1.53029,0.80976,1.52568,0.92491,0.8858,0.96692,0.52055,1.61841,0.6701,1.80461,0.001505,0.001505,0.001505
27,598.045,1.50023,0.78934,1.50108,0.88302,0.94521,0.97031,0.53915,1.56595,0.6606,1.76863,0.0014852,0.0014852,0.0014852
